"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",195,0.444549595979546,2.15021978640699,5.68645612053282e-10,2.84322806026641e-08,2.1548675825177e-08,4277,"tags=44%, list=22%, signal=34%","Rpl6/Snrpd1/Eif2s2/Pgk1/Tufm/Rps6/Psma6/Rpl14/Psma7/Nme1/Cct7/Phb2/Snrpa1/Srpk1/Npm1/Vbp1/Cstf2/Psmd14/Vdac1/Cct4/Cox5a/Psmd8/Serbp1/Srsf3/Hspd1/Ywhae/Prdx4/Eif3j1/Eif4a1/Sf3a1/Psmd3/Psmb3/Psmb2/Rplp0/Odc1/Cct3/Hdac2/Ywhaq/Tra2b/Tfdp1/Cct5/Ssb/Glo1/Tomm70a/Set/Tardbp/Clns1a/Rpl22/Rpl18/Hnrnpa2b1/Psmd1/Dek/Rack1/Slc25a3/Cad/Pabpc1/Hspe1/Snrpa/Ilf2/Ranbp1/Gnl3/Psma2/Rps10/Hsp90ab1/Nop16/Impdh2/Pcna/Kpnb1/Vdac3/Psmd7/H2az1/Nhp2/Ran/Xpo1/Cops5/Ppia/Pold2/Cct2/Srm/Ptges3/Got2/Txnl4a/Psma1/Rrp9/Psmc6",0.801215574617779
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",12,0.795510709541855,2.10465043140783,7.23156027643374e-05,0.000777295553018507,0.0005891082086035,1965,"tags=58%, list=10%, signal=53%","Akt3/Sec11a/Srp14/Srp9/Stxbp1/Srprb/Foxo1",0.538434096309916
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",107,0.429040835262888,1.89168896649412,1.99636009486726e-05,0.000332726682477876,0.000252171801456917,2180,"tags=30%, list=11%, signal=27%","Mthfd2/Asns/Nfya/Sec11a/Npm1/Chac1/Slc7a5/Exosc9/Eif4g1/Atf4/Hyou1/Cnot2/Eif4a1/Parn/Psat1/Lsm4/Kdelr3/Dkc1/Wipi1/Cebpg/Herpud1/Aldh18a1/Eef2/Ywhaz/Srprb/Slc1a4/Ddit4/Ero1a/Kif5b/Paip1/Preb/Hspa5",0.575610261071129
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",188,0.390244985759715,1.86027999248435,1.27370977210114e-06,3.18427443025286e-05,2.41334483134954e-05,4403,"tags=41%, list=22%, signal=32%","Eif2s2/Pgk1/Mthfd2/Asns/Sec11a/Map2k3/Slc7a5/Cct6a/Psmd14/Shmt2/Slc37a4/Pfkl/Tcea1/Hspd1/Gapdh/Psmd12/Ebp/Psph/Insig1/Eno1/Cd9/Ube2d3/Txnrd1/Psat1/Sqle/Lta4h/Idi1/Rab1a/Me1/Gpi1/G6pdx/Slc2a1/Gmps/Prdx1/Cfp/Stip1/Egln3/Cacybp/Hspa4/Cyb5b/Ppp1r15a/Slc1a4/Bhlhe40/Ddit4/Rit1/Ero1a/Slc7a11/Hspa5/Atp6v1d/Slc1a5/Psmc2/Nmt1/Ak4/Nfkbib/Hspe1/Adipor2/Nupr1/Hmgcs1/Ung/Ssr1/Sqstm1/Idh1/Btg2/Qdpr/Phgdh/Cops5/Ppia/Tmem97/Edem1/Psmb5/Elovl6/Pitpnb/Rrp9/Psmc6/Ddx39a/Acsl3/Fkbp2",0.643551836150722
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",145,0.375203697889355,1.72470533431806,7.77295553018507e-05,0.000777295553018507,0.0005891082086035,3478,"tags=34%, list=18%, signal=29%","Nelfb/Nme1/Guk1/Nt5c3/Polr2e/Ercc1/Rae1/Aprt/Ssrp1/Gtf2a2/Pde6g/Pold3/Alyref/Nudt9/Dguok/Polr2d/Rfc5/Polr2k/Gsdme/Polr2c/Adrm1/Polr3gl/Rbx1/Ell/Sf3a3/Snapc5/Itpa/Polr2j/Brf2/Lig1/Cstf3/Rrm2b/Taf12/Polr2g/Arl6ip1/Adcy6/Ak1/Mpg/Tmed2/Rala/Pom121/Impdh2/Smad5/Pcna/Rad52/Polb/Ercc5/Trp53/Pold1/Ercc8",0.538434096309916
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",178,0.336723880988232,1.59429574224668,0.000929436565642972,0.00663883261173551,0.00503153629521007,3456,"tags=30%, list=18%, signal=25%","S100a10/Ier3/Upp1/Tprkb/Mxd4/Tsc22d1/Prkab1/Ccnd3/Pmm1/Hint1/Ndrg1/Ldhb/Prmt2/Gadd45a/Vwa5a/Sp1/Plxnb2/Fos/Hbegf/Ppm1d/Epha2/Tgfa/Vamp8/Cd82/Rps12/Tm7sf3/Tap1/Hmox1/Bmp2/Rrad/Rps27l/Blcap/Nol8/Ppp1r15a/Notch1/Ddit4/Rpl18/Slc7a11/Ninj1/Rack1/Slc3a2/Ak1/Tnni1/Nupr1/Slc35d1/Abcc5/Pom121/Hexim1/Pcna/Baiap2/Ercc5/Rad51c/Trp53/Btg2",0.477270815362862
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",65,0.393660174852726,1.59150347692716,0.00514966331486582,0.0286092406381434,0.0216827929046982,3987,"tags=37%, list=20%, signal=30%","Errfi1/Lss/Pnrc1/Hsd17b7/Ebp/Cd9/Fdps/Abca2/Sqle/Idi1/Nsdhl/Plscr1/Cxcl16/S100a11/Ctnnb1/Pdk3/Acss2/Alcam/Chka/Hmgcs1/Aldoc/Sema3b/Tmem97/Clu",0.407017918923954
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",163,0.331364102053992,1.55280039064206,0.000853508089807262,0.00663883261173551,0.00503153629521007,2747,"tags=27%, list=14%, signal=23%","Errfi1/Pgk1/Serpine1/Ier3/Chst2/Irs2/Slc37a4/Pnrc1/Klhl24/Pfkl/Gapdh/Ndrg1/Eno3/Siah2/Jmjd6/Eno1/Mt2/Ankzf1/Fos/Kdelr3/Gpi1/Gcnt2/Hdlbp/Slc2a1/Myh9/Hmox1/Klf6/Ppp1r15a/Bhlhe40/Ddit4/Ero1a/P4ha2/Hspa5/Cp/Pdk3/Eno2/Ets1/Bnip3l/Ak4/Gys1/Efna1/Zfp292/Ccng2/Stbd1",0.477270815362862
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",150,-0.328671501974934,-1.50984453849086,0.00311861380779265,0.019491336298704,0.0147723811948073,4197,"tags=34%, list=21%, signal=27%","Tnfrsf12a/Col7a1/Slc6a8/Qsox1/Bdnf/Emp3/Mmp3/Snai2/Il15/Rhob/Fbln1/Sdc1/Tpm1/Fas/Htra1/Ecm2/Cd59b/Pcolce/Fgf2/Itga5/Mfap5/Gja1/Mmp14/Vegfc/Msx1/Loxl1/Fbln5/Itgb3/Fstl1/Col6a2/Col3a1/Loxl2/Gem/Lum/Areg/Tpm2/Efemp2/Col5a3/Bgn/Col1a1/Ccn1/Lrp1/Mgp/Thbs1/Vcan/Fermt2/Tagln/Dcn/Gas1/Gadd45b/Col1a2",0.431707695803346
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",127,-0.313011787157104,-1.41800155318788,0.00809132448286711,0.0404566224143355,0.0306618611982332,4741,"tags=33%, list=24%, signal=25%","Sri/Ptpre/Sphk1/Lck/Pik3r5/Abca1/Ccl17/Osmr/Myc/Ly6e/Tpbg/Emp3/Il4ra/Il15/Gnai3/Tnfrsf9/Selenos/Atp2c1/Itga5/Mmp14/Ripk2/Acvr1b/Gch1/Gpc3/Itgb3/Eif2ak2/Scn1b/Rgs16/Adora2b/P2ry2/Rnf144b/Stab1/Edn1/Nfkbia/Pdpn/Tnfaip6/Mxd1/Irf7/F3/Ccl5/Ccl7/Axl",0.380730400722792
