"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",195,-0.495774270285625,-2.32578476030063,1e-10,5e-09,3.05263157894737e-09,3328,"tags=46%, list=17%, signal=38%","Srsf3/Nhp2/Rps6/Eif3d/Hspd1/Rpl18/Hdgf/Hsp90ab1/Ssb/Ptges3/Snrpd3/Pabpc4/Fbl/Pole3/Mcm4/Xpot/Rplp0/Cct5/Mcm7/Phb2/Rsl1d1/Ruvbl2/Abce1/Gnl3/Nop16/Psmb2/Ddx18/Rps3/Ywhaq/C1qbp/Snrpb2/Rps10/Syncrip/Xrcc6/Acp1/Psmd7/Ncbp1/Bub3/Ube2l3/Txnl4a/Gspt1/Kpnb1/Lsm2/Snrpg/Psmb3/Nop56/Cct4/Etf1/Ifrd1/Psmc4/Ddx21/Eif1ax/Hnrnpa2b1/Cox5a/Rpl14/Eef1b2/Srsf7/Nap1l1/Snrpa1/Cstf2/Snrpd2/Eif2s2/Erh/Ran/Orc2/Cct3/Cct7/Exosc7/Psmd14/Cct2/Serbp1/Prdx3/Tyms/Pa2g4/Tfdp1/Set/Eif3j1/Rps2/Myc/Nme1/Pcbp1/Nolc1/Dut/U2af1/Ranbp1/Rpl22/Cnbp/Hspe1/Srm",NA
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",57,-0.565711960939016,-2.17378793207102,4.2812122178409e-06,7.1353536964015e-05,4.35632120411881e-05,3195,"tags=44%, list=16%, signal=37%","Hspd1/Plk1/Mcm4/Plk4/Ppan/Wdr74/Gnl3/Nop16/Ddx18/Imp4/Supv3l1/Las1l/Nop56/Mphosph10/Mybbp1a/Dctpp1/Wdr43/Ndufaf4/Pa2g4/Pus1/Myc/Nolc1/Mrto4/Hspe1/Srm",0.610526878385931
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",198,-0.388762138176231,-1.8278342651705,1.85001041424984e-06,4.62502603562461e-05,2.82370010596029e-05,4558,"tags=42%, list=23%, signal=33%","Tacc3/Rad1/Nasp/Rfc3/Nbn/Pttg1/Msh2/Slbp/Rpa2/Ipo7/Prps1/Srsf1/Cse1l/Hnrnpd/Mybl2/Ppp1r8/Tbrg4/Nup107/Cdk4/Bub1b/Smc1a/Anp32e/Cdk1/Espl1/Nup153/Cdca3/Rnaseh2a/Plk1/Melk/Rpa1/Mcm4/Bard1/Plk4/Ilf3/Mcm7/Prim2/Ssrp1/Gins4/Ube2s/Tmpo/Smc4/Pds5b/Syncrip/Xrcc6/Psmc3ip/Stag1/Pola2/Pms2/Gspt1/Pole/Dclre1b/Nop56/Cks1b/Tubb5/Nap1l1/Tipin/Cdkn2c/Ran/Dctpp1/Orc2/Mre11a/Lyar/Ak2/Spc24/Pop7/Ube2t/Mms22l/Pole4/Rfc2/Asf1b/Tubg1/Pa2g4/Hells/Myc/Nup205/Nme1/Nolc1/Ezh2/Dut/Ranbp1/Aurkb/Cenpm/Rrm2",0.643551836150722
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",45,0.52566709907653,1.82323296936788,0.000806500967291424,0.00509593710335775,0.00311120370520789,2597,"tags=27%, list=13%, signal=23%","Ftl1/Nqo1/Junb/Txnrd1/Gclc/Gpx4/Gclm/Pfkp/Sod1/Cat/Srxn1/Txnrd2",0.477270815362862
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",163,0.413824590787063,1.77481424871426,2.75779098968969e-05,0.000344723873711211,0.000210462996581581,1537,"tags=22%, list=8%, signal=21%","Mt1/Mt2/Tiparp/Hmox1/Bgn/Cp/Klhl24/Pnrc1/Plac8/Gbe1/Plin2/Pdk1/Casp6/Ccng2/P4ha2/Ets1/Ak4/Bnip3l/Dcn/Tgm2/Pim1/Chst2/Ilvbl/P4ha1/Ndrg1/Fos/Nr3c1/Aldoc/Btg1/Kdelr3/Ier3/Pfkl/Pfkp/Jun/Ddit4/Fam162a",0.575610261071129
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",34,0.501756741845837,1.63335060423046,0.0125736438947797,0.0677745492630776,0.0413781458658789,3728,"tags=53%, list=19%, signal=43%","Hdac2/Peg12/Dvl2/Ccnd2/Numb/Cul1/Ctnnb1/Ptch1/Adam17/Dll1/Axin2/Lef1/Fzd8/Hdac5/Notch1/Ppard/Ncstn/Maml1",0.380730400722792
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",139,0.388117786492925,1.63014143262313,0.000532505874401981,0.00509593710335775,0.00311120370520789,1496,"tags=24%, list=8%, signal=22%","Pdcd4/Sqstm1/Hmox1/Bgn/Bcl2l11/Clu/Casp6/Gstm2/Timp2/Gpx4/Txnip/Bmf/Igfbp6/Gsn/Dnm1l/Bnip3l/Dcn/Ptk2/Rnasel/App/Bcl2l1/Ebp/Irf1/Ccnd2/Pdgfrb/Gadd45a/Erbb3/Rock1/Ier3/F2r/Sod1/Jun/Tap1",0.477270815362862
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",136,0.386154619360153,1.60770067530543,0.000729844130025622,0.00509593710335775,0.00311120370520789,2805,"tags=28%, list=14%, signal=24%","Nqo1/Mt2/Cyb5a/Hmox1/Pgd/Aldh2/Casp6/Gclc/Blvrb/Smox/Adh7/Upp1/Ptgds/Cbr1/Arg1/Ninj1/Gsto1/Pgrmc1/Pink1/Acox3/Ptgr1/Fetub/Slc12a4/Ptges/Pmm1/Lcat/Jup/Cat/Entpd5/Por/Cda/Ssr3/Npc1/Angptl3/Alas1/Atoh8/Xdh/Lpin2",0.477270815362862
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",178,0.361029056687334,1.54139258162718,0.00081534993653724,0.00509593710335775,0.00311120370520789,1991,"tags=24%, list=10%, signal=21%","Hmox1/Ip6k2/Tsc22d1/Rps12/Zfp36l1/Rchy1/Txnip/Fbxw7/Tax1bp3/Upp1/Mxd4/Osgin1/Prkab1/Tob1/H1f2/App/Ccnd2/Ndrg1/Fos/Ninj1/Pidd1/Steap3/Gadd45a/Socs1/Wrap73/Btg1/Ier3/Kif13b/Tspyl2/F2r/Jun/Slc7a11/Dnttip2/Ddit4/Tap1/Pom121/Fam162a/Ldhb/Bak1/Pmm1/Ctsd/Nudt15",0.477270815362862
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",12,0.610483559601785,1.54048874683517,0.0469043151969981,0.111676940945234,0.0681817113139321,1237,"tags=25%, list=6%, signal=23%","Sec11a/Akt3/Elp4",0.287857117255149
