"","Axl","Prmt1","Ripk1"
"HALLMARK_MYC_TARGETS_V1",2.15021978640699,-2.32578476030063,-1.30289033739482
"HALLMARK_PANCREAS_BETA_CELLS",2.10465043140783,1.54048874683517,0
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.89168896649412,0,0
"HALLMARK_MTORC1_SIGNALING",1.86027999248435,-1.24313484443699,0
"HALLMARK_DNA_REPAIR",1.72470533431806,-1.35525979089106,0
"HALLMARK_P53_PATHWAY",1.59429574224668,1.54139258162718,0
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.59150347692716,-1.39460177168497,0
"HALLMARK_HYPOXIA",1.55280039064206,1.77481424871426,0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.50984453849086,1.36574777954014,1.51602983435107
"HALLMARK_ANDROGEN_RESPONSE",1.47205983464941,0,0
"HALLMARK_INFLAMMATORY_RESPONSE",-1.41800155318788,-1.34583666908149,1.61745585811343
"HALLMARK_UV_RESPONSE_DN",-1.39038200127075,0,0
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.28165989411228,-1.36342302898505,0
"HALLMARK_MYC_TARGETS_V2",0,-2.17378793207102,-2.1168668759632
"HALLMARK_E2F_TARGETS",0,-1.8278342651705,-1.6483901269171
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0,1.82323296936788,1.45090921108165
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0,1.63335060423046,0
"HALLMARK_APOPTOSIS",0,1.63014143262313,1.36864860107609
"HALLMARK_XENOBIOTIC_METABOLISM",0,1.60770067530543,1.42108596466065
"HALLMARK_UV_RESPONSE_UP",0,1.4156703758935,1.44411458071384
"HALLMARK_KRAS_SIGNALING_UP",0,1.40024989894877,1.45198222385787
"HALLMARK_HEME_METABOLISM",0,1.37557588369003,0
"HALLMARK_COMPLEMENT",0,1.3662310428165,1.33130572077525
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0,-1.31741052938894,1.51914127739881
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0,0,2.32064873456491
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0,0,2.15673326701045
"HALLMARK_MYOGENESIS",0,0,1.78999643302469
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0,0,1.50325114336616
"HALLMARK_COAGULATION",0,0,1.44635932879413
"HALLMARK_FATTY_ACID_METABOLISM",0,0,1.3804381010048
