"","sgAxl","Control","sgRipk1","sgPrmt1"
"Gm6085",1,0,3,0
"Mrpl15",652,973,481,297
"A930006A01Rik",1,0,1,1
"Lypla1",132,172,93,51
"ENSMUSG00000137875",2,3,0,0
"Tcea1",346,432,212,154
"Gm6104",2,0,1,1
"Gm37277",3,2,2,3
"Atp6v1h",130,197,84,74
"4732440D04Rik",13,25,9,9
"Rb1cc1",143,192,88,80
"ENSMUSG00000143943",2,3,0,1
"ENSMUSG00000141243",3,4,3,1
"Gm19026",1,0,0,0
"Gm37108",0,11,4,1
"Gm57122",9,2,4,1
"Pcmtd1",87,146,60,51
"Gm38372",1,2,0,0
"Gm26901",3,10,5,2
"Rps2-ps2",0,1,2,0
"Sntg1",0,1,0,1
"Gm36964",1,1,1,1
"2610203C22Rik",19,32,13,10
"Rrs1",247,318,194,90
"Adhfe1",5,10,7,3
"Mybl1",21,33,21,6
"Vcpip1",43,62,33,22
"1700034P13Rik",3,3,1,1
"ENSMUSG00000128816",1,2,0,1
"Sgk3",24,34,17,11
"Snhg6",780,1197,589,393
"Mcmdc2",3,0,1,0
"Tcf24",6,7,6,3
"Gm57177",1,5,3,2
"Cops5",579,794,386,258
"Cspp1",91,146,99,58
"ENSMUSG00000137212",1,0,1,0
"Arfgef1",124,179,96,57
"Gm37569",4,4,3,3
"Cpa6",11,23,10,4
"Gm38005",1,1,1,0
"Gm15604",1,2,0,1
"Gm28659",4,2,2,1
"ENSMUSG00000130062",2,2,3,2
"Prex2",4,3,0,1
"Gm38178",0,1,1,0
"Ncoa2",37,66,31,19
"Gm38376",4,4,3,0
"Gm37409",2,1,0,1
"Gm38223",2,3,3,3
"Gm37702",3,1,3,1
"Gm38120",9,16,7,4
"Gm38380",8,12,5,6
"ENSMUSG00000134452",0,3,1,0
"Tram1",363,484,220,165
"Gm57152",9,12,4,4
"Lactb2",132,188,89,52
"Gm38319",5,4,1,1
"Gm5523",4,10,4,4
"Eya1",48,85,36,31
"Rpl5-ps1",6,4,4,1
"Terf1",154,226,129,89
"Rpl7",3700,5273,2604,1784
"Rdh10",155,190,104,61
"Stau2",38,49,21,16
"Ube2w",90,106,61,27
"Gm38342",1,4,1,4
"Eloc",1279,1782,885,549
"D030040B21Rik",7,15,3,5
"Tmem70",251,354,142,114
"ENSMUSG00000125087",0,3,0,1
"Ly96",18,28,20,16
"Gm10075",2,0,0,1
"Mcm3",567,782,372,297
"6720483E21Rik",1,2,2,1
"Paqr8",17,24,11,6
"Tram2",44,91,51,43
"ENSMUSG00000129840",2,1,1,0
"Tmem14a",26,37,21,13
"Khdc1b",2,10,6,2
"Kcnq5",13,11,2,1
"Gm7658",24,30,14,18
"ENSMUSG00000134304",16,21,10,8
"Gm29107",0,4,1,0
"B3gat2",6,4,4,0
"Smap1",439,626,304,210
"Sdhaf4",156,252,100,67
"Fam135a",6,21,15,6
"ENSMUSG00000138098",405,614,313,233
"ENSMUSG00000127021",1,2,2,1
"Lmbrd1",68,119,52,51
"Gm7846",38,32,23,18
"Gm5525",0,1,0,0
"Phf3",212,327,157,143
"Gm37522",2,2,0,0
"Gm37906",11,14,3,10
"Ptp4a1",3,5,1,4
"Ptp4a1.1",5,3,1,0
"ENSMUSG00000139019",2,2,3,1
"Gm29128",1,0,0,0
"Gm19680",0,2,0,1
"Prim2",168,238,101,70
"Gm29228",7,11,2,3
"Gm37618",1,4,4,2
"ENSMUSG00000138851",5,6,0,1
"Gm38173",0,1,2,3
"Gm57180",8,16,4,7
"Rab23",69,95,37,16
"Bag2",241,350,158,109
"Zfp451",110,137,67,55
"Bend6",11,10,3,4
"Dst",221,334,152,121
"Gm37354",11,36,18,7
"Gm38157",24,35,13,11
"Gm26788",6,2,1,4
"A930005N03Rik",2,0,1,0
"Gm37233",3,1,0,1
"Ccdc115",72,117,60,41
"Imp4",209,270,128,79
"Gm28417",10,23,12,9
"Ptpn18",269,401,201,182
"Arhgef4",2,3,1,0
"Fam168b",150,186,86,76
"Gm37127",2,0,0,1
"Plekhb2",73,142,58,48
"Hs6st1",17,9,3,2
"Gm33280",0,0,1,1
"Uggt1",158,245,104,81
"Arid5a",71,88,36,19
"Kansl3",84,115,58,35
"Lman2l",68,100,47,39
"ENSMUSG00000137090",2,2,4,1
"Cnnm4",50,62,19,21
"Gm37909",0,1,0,0
"Cnnm3",33,70,33,31
"Ankrd23",4,1,0,4
"Ankrd39",64,99,41,24
"Sema4c",11,15,8,5
"D430040D24Rik",0,1,2,0
"Fam178b",0,0,1,1
"Cox5b",2089,2996,1532,1104
"Actr1b",145,212,130,76
"ENSMUSG00000141655",1,1,2,0
"Tmem131",80,125,63,48
"Gm38115",9,6,6,2
"Rpl12-ps1",0,3,1,2
"Inpp4a",73,97,38,37
"Coa5",126,197,80,54
"Unc50",193,262,151,103
"Mgat4a",21,44,17,10
"Gm43213",0,2,0,0
"Tsga10",7,5,1,6
"Lipt1",35,54,23,16
"Mitd1",390,547,260,141
"Mrpl30",1084,1580,738,516
"Txndc9",423,655,310,228
"Eif5b",1724,2516,1210,837
"Rev1",22,42,28,12
"Chst10",1,0,0,0
"Pdcl3",575,897,425,254
"Gm37309",0,1,1,0
"ENSMUSG00000132325",0,1,0,2
"ENSMUSG00000131701",0,2,1,0
"Rpl31",3548,4840,2297,1561
"Tbc1d8",6,5,5,2
"Cnot11",146,202,109,61
"Gm15832",3,2,0,3
"Rnf149",54,56,24,16
"Gm23722",1,1,1,1
"Gm5100",0,1,2,0
"Map4k4",374,539,261,168
"Il1r2",9,17,10,5
"Il1r1",37,51,23,18
"ENSMUSG00000123590",1,0,2,0
"Il1rl1",152,289,197,99
"Il18rap",45,50,19,26
"Mfsd9",0,1,4,0
"Tmem182",0,2,0,0
"Mrps9",258,356,179,134
"Tgfbrap1",38,49,26,22
"8430432A02Rik",1,1,1,0
"AI597479",22,49,25,21
"Fhl2",476,758,346,190
"Gm29040",3,2,1,1
"Nck2",23,27,18,17
"Gm38228",0,2,1,2
"Gm29155",0,2,0,0
"Uxs1",190,273,153,77
"Gm16103",2,1,1,0
"ENSMUSG00000127515",4,5,2,0
"Gm57117",7,12,7,4
"Tpp2",206,331,145,118
"Mettl21c",0,2,1,0
"Ccdc168",3,0,2,7
"Tex30",241,354,176,96
"ENSMUSG00000123011",4,3,2,0
"Poglut2",23,41,14,9
"Bivm",24,24,8,12
"Ercc5",35,40,23,16
"Txn-ps1",3,6,3,3
"Gulp1",18,38,13,21
"Gm37626",4,4,1,2
"Col3a1",1170,1787,902,886
"ENSMUSG00000141276",3,1,0,1
"Col5a2",480,647,372,240
"Gm38211",73,84,45,30
"Wdr75",239,345,166,112
"ENSMUSG00000123149",18,26,12,5
"Slc39a10",62,92,49,36
"Gm8357",5,11,2,3
"Tmeff2",15,21,9,9
"Gm28320",11,8,8,1
"9330175M20Rik",5,12,5,2
