"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.04987578878421e-44,0.425315204429284,1,0.998,1.18825610367511e-39,"0","Rpl39"
4.82278889001696e-34,1.16172524211593,0.866,0.42,9.4724396588823e-30,"0","Rhox5"
8.14527655096111e-28,2.38769362372604,0.488,0.167,1.59981376737427e-23,"0","Il1rl1"
3.26735443460283e-25,1.30578298524892,0.716,0.431,6.41741084500341e-21,"0","Itgb7"
9.66083671940403e-25,0.520350817008738,1,1,1.89748494005815e-20,"0","Fth1"
9.34970499082135e-22,2.44255631537232,0.527,0.24,1.83637555724722e-17,"0","Ifit3"
1.13947729106184e-21,1.05169879526538,0.835,0.675,2.23804734737457e-17,"0","Mfap5"
1.00952257717159e-19,1.93414781762616,0.655,0.424,1.98280329382272e-15,"0","Ccl7"
3.91793515711258e-16,0.289617751395583,1,1,7.69521644208481e-12,"0","Rps12"
4.82856625086121e-15,1.21430232474462,0.57,0.344,9.48378697331651e-11,"0","Grem1"
5.66123246316432e-15,1.84245023986398,0.351,0.142,1.1119226680901e-10,"0","Gm41724"
2.31072546489054e-14,0.394725452369997,0.994,0.975,4.53849588559152e-10,"0","Eif3e"
2.36701763222194e-14,0.533702900649586,0.97,0.956,4.6490593314471e-10,"0","Npc2"
2.92231629549879e-14,0.736786600523398,0.966,0.973,5.73972143598918e-10,"0","Plac8"
2.96087900212687e-14,2.05516341875392,0.515,0.302,5.81546244807739e-10,"0","Ifit1"
7.60775220280591e-14,2.3669928976657,0.25,0.075,1.49423861015311e-09,"0","Ptpn22"
1.90531495061503e-13,0.625577873425874,0.845,0.658,3.74222909450299e-09,"0","Dcn"
1.92112601200639e-13,0.426433551400238,0.997,0.989,3.77328360018176e-09,"0","Serpinb6a"
2.57016560871675e-13,0.862996422906785,0.787,0.696,5.04806227208056e-09,"0","Mgst2"
2.46118998805352e-12,0.364143607291836,1,1,4.83402325553592e-08,"0","Ctsl"
3.76695673159189e-12,0.293952677100297,1,0.996,7.39867971651964e-08,"0","Tspo"
