"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Axl",122.291151305295,-0.838148630243025,0.1500236926224,-5.58677509926778,2.31324983018101e-08,0.000453859616681514
"Gm6085",0.362205612209624,1.48424077138645,3.19187329575952,0.465006168433535,0.641927039245719,1
"Mrpl15",181.150639136583,-0.0563579876181579,0.114877749732764,-0.49059097822913,0.623715768586661,1
"A930006A01Rik",0.311823203928757,1.48423883473099,3.32098972336249,0.44692665692088,0.654928016280886,1
"Lypla1",33.691795372748,0.141028752422287,0.266416816321377,0.529353793689078,0.596560045230038,1
"ENSMUSG00000137875",0.28372532257474,-0.0877986091551063,2.96461021240601,-0.0296155659140939,0.976373650954752,1
"Tcea1",87.3440263687663,0.202401317549864,0.157474821934821,1.28529319838595,0.19868984608281,1
"Gm6104",0.37419512425033,2.36925042681008,2.80647533232021,0.844208534286791,0.39855288639878,1
"Gm37277",0.917584399280068,1.10161141288928,1.79447569519397,0.613890405893854,0.539287750491872,1
"Atp6v1h",37.2072304877659,-0.0747803467233636,0.252544109187064,-0.29610806193057,0.767147557397341,1
"4732440D04Rik",4.22445632376055,-0.42119593395659,0.742540657049932,-0.567236190985117,0.570553722702729,1
"Rb1cc1",39.0530417202627,0.100082825186059,0.242531423940649,0.412659207454085,0.679856315792049,1
"ENSMUSG00000143943",0.426362916349497,-0.0419791914716634,2.40282989342719,-0.0174707296536035,0.986061083634567,1
"ENSMUSG00000141243",0.828635538578905,0.0715724349186898,1.78063091914731,0.0401949860294258,0.967937674970393,1
"Gm19026",0.0706990588006624,1.48421262815364,4.40735632396697,0.336758028862465,0.736299314930077,1
"Gm37108",1.06279010420725,-3.80420019132147,1.96355674888819,-1.93740272262337,0.0526961340898739,1
"Gm57122",1.260162541706,2.67164198041003,1.54689037281578,1.72710492440837,0.0841488213795707,1
"Pcmtd1",26.1948851315414,-0.221183561380399,0.294170249842845,-0.751889633634136,0.452117432665894,1
"Gm38372",0.165924905978709,-0.35580288975946,4.07289615586948,-0.0873586941927576,0.930386401068843,1
"Gm26901",1.46778814633493,-1.20769970603286,1.29225754101649,-0.934565802636282,0.350012109609582,1
"Rps2-ps2",0.245989399419094,-0.439320851155528,3.59883557026117,-0.122073054625179,0.902841161549111,1
"Sntg1",0.196590507095887,-0.439324710060161,4.40735632396697,-0.0996798710535693,0.920598481511329,1
"Gm36964",0.364679396423325,0.522476675944589,2.88173953481538,0.181306002722436,0.856127394622326,1
"2610203C22Rik",5.54380791795945,-0.244592791771105,0.661385177648185,-0.369818979979036,0.711517372324298,1
"Rrs1",64.1536497366908,0.160072111771551,0.194498119512831,0.823000819609422,0.410507527339023,1
"Adhfe1",1.92667254765154,-0.476904784330351,1.19735472982915,-0.398298659912087,0.690410048168739,1
"Mybl1",5.9725874394441,-0.128852193168735,0.590947270132127,-0.218043469665111,0.827395242252717,1
"Vcpip1",12.2875676565314,-0.0105487933560051,0.42164274153841,-0.0250183207649127,0.980040350324771,1
"1700034P13Rik",0.596341747502334,0.52659475748078,2.01448440836825,0.261404235889483,0.793780790805698,1
"ENSMUSG00000128816",0.294006780577769,-0.358043687626546,3.01549992278703,-0.118734437670166,0.905485752212047,1
"Sgk3",6.50828277435656,0.0262816550706858,0.592461845056914,0.0443600803831699,0.964617381544789,1
"Snhg6",224.911648087531,-0.0935585942787764,0.110184489300656,-0.849108571202678,0.395820881457052,1
"Mcmdc2",0.31339071293162,2.99133887800816,3.2432066226285,0.922339901854228,0.3563513069302,1
"Tcf24",1.77422153133417,0.305111484464595,1.20252623230541,0.253725429240453,0.799707687084455,1
"Gm57177",0.903506586071602,-1.68710007710526,2.19922900380412,-0.767132515161904,0.443002731490027,1
"Cops5",152.764730000739,0.0667869698770858,0.127472293787455,0.523933224175328,0.600324985347833,1
"Cspp1",31.1558601950534,-0.16134873172635,0.284100476817505,-0.567928408757983,0.570083580876537,1
"ENSMUSG00000137212",0.171795422668487,1.48420328671362,4.40735632396697,0.336755909351509,0.736300912831887,1
"Arfgef1",34.7523329523466,-0.00580046086229835,0.262862606715876,-0.022066511988021,0.9823948995303,1
"Gm37569",1.18060337679284,0.527547271688168,1.49438930387958,0.353018634648015,0.724074470376987,1
"Cpa6",3.45132201012652,-0.533935005321108,0.848964540510393,-0.628924978421488,0.529398172344943,1
"Gm38005",0.211352251465026,0.522465908728806,3.78179251709789,0.138152980727177,0.890119514612276,1
"Gm15604",0.296376070985207,-0.384994696667737,3.00932270400326,-0.127934001945216,0.898201202471899,1
"Gm28659",0.705884044862727,1.51029688946836,1.88038458933065,0.803185102684749,0.421867754709109,1
"ENSMUSG00000130062",0.80259817371638,0.510354157325442,1.85453153622968,0.275193032501894,0.783167939652512,1
"Prex2",0.553445836882174,0.958409098424696,1.96886077726489,0.486783580378956,0.626411707503836,1
"Gm38178",0.145273797802404,-0.439324710060161,4.40735632396697,-0.0996798710535694,0.920598481511329,1
"Ncoa2",11.3950375940946,-0.314295352190178,0.440961990000805,-0.712749305647873,0.476000900247241,1
"Gm38376",0.764361413565933,0.5077413354603,1.61530453392497,0.314331647560326,0.753269164151235,1
"Gm37409",0.316821872102803,1.40709131086508,2.94821976538798,0.477268122066169,0.633171207739121,1
"Gm38223",0.997914211107023,-0.0512973244779589,1.72422097379509,-0.0297510152454828,0.97626562562547,1
"Gm37702",0.678243041140944,1.96184182033331,2.28882427562254,0.857139554673635,0.391367763222828,1
"Gm38120",2.63744598921439,-0.307176237285578,0.900570396879438,-0.341090755758764,0.733035260231325,1
"Gm38380",2.47287688742801,-0.0474377796980311,0.990372062434812,-0.047898947776663,0.961796777982508,1
"ENSMUSG00000134452",0.24212967535287,-1.92038602614848,3.12324452389288,-0.614868932437884,0.53864128142674,1
"Tram1",93.2158848424169,0.10860050306806,0.164976576850743,0.658278315268432,0.510359309386542,1
"Gm57152",2.17174676984406,0.0967064382283755,1.04385666804281,0.0926434070778088,0.926186858152141,1
"Lactb2",34.2985071270857,0.0135155004196027,0.246836468997078,0.0547548766781405,0.956333749631474,1
"Gm38319",0.765080264267431,0.853695445972985,1.78231671218313,0.478980778296866,0.631952303153532,1
"Gm5523",1.73956109816734,-0.804283547790908,1.33982153209172,-0.600291552663185,0.548311947456131,1
"Eya1",15.3443884248273,-0.295139308924286,0.41168111900224,-0.716912423964433,0.473428135493422,1
"Rpl5-ps1",1.14761605862739,1.09426289110998,1.34149709449278,0.815702766410931,0.414670156419164,1
"Terf1",46.7096045459006,-0.0294291711109964,0.25436085141957,-0.115698508425154,0.907891488418705,1
