"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ftl1",4126.15515794913,0.491393250923594,0.0571326790582452,8.60091385566974,7.9083829812807e-18,3.18312414996548e-14
"Nqo1",71.2249143940229,1.17259341074198,0.2162284003832,5.42293893246174,5.86270259747317e-08,0.000117986889774147
"Prmt1",332.851389932899,-0.69384556775832,0.130693891759963,-5.30893646531437,1.10266759400091e-07,0.000147941235528456
"Col3a1",379.81329698528,0.525853051432495,0.102379953958894,5.13628919625837,2.8021634407897e-07,0.000281967696229464
"Ccl7",228.793758244415,-0.91070836576877,0.179250343040081,-5.08065061591057,3.76144366412135e-07,0.000302796214961768
"Ankrd1",594.711542162259,-0.623641141884783,0.123873514042334,-5.03449947881235,4.7909898094327e-07,0.000321395566382777
"Rhox5",805.04141096807,0.539268745692909,0.109151704901569,4.94054349567157,7.79051111363306e-07,0.000447954389033901
"Mt1",137.16595923573,1.11618136978763,0.229877089919729,4.85555724660248,1.20048665369299e-06,0.000483195878111429
"Esd",1078.38001992897,0.374374612631504,0.0769487352236906,4.86524712255757,1.14313884471688e-06,0.000483195878111429
"mt-Rnr2",2706.0836741464,0.464015248186114,0.0950810216254433,4.88020890240356,1.05973527372146e-06,0.000483195878111429
"Gstm1",117.837435982714,0.867320288356824,0.180707148644528,4.79959035855821,1.58990492119952e-06,0.000581760664348007
"Ctsl",4071.60959561407,0.377197995278626,0.0826164901633788,4.56565020533668,4.97948495217818e-06,0.00167020224437643
"Dstn",388.882000822152,-0.425076519936929,0.0995640666798582,-4.2693768355579,1.96019853332804e-05,0.00563557078331813
"Anxa1",1223.80929796582,-0.338276004782179,0.0789601085587729,-4.28413804079801,1.83448994156181e-05,0.00563557078331813
"Prss23",75.8071707881745,-0.907028981666306,0.218324508363491,-4.15449913738582,3.26000847243021e-05,0.00852919804460573
"Cox8a",1419.48263105056,-0.243615724398207,0.0587660755022557,-4.14551630879037,3.3904886636942e-05,0.00852919804460573
"Ccn1",261.039282552769,-0.70504264218953,0.171059407539445,-4.12162448316065,3.76210090196883e-05,0.00890732713554384
"Pgam1",725.314624817182,-0.316419730462356,0.0775586860219155,-4.07974588910579,4.5084957856857e-05,0.0100814975207694
"Impact",76.4469490517792,0.889414117377853,0.219813581047148,4.0462200430968,5.20513079169936e-05,0.0110266586508368
"Srm",358.094214220465,-0.465361054543031,0.116415760930507,-3.99740594248936,6.40404242239645e-05,0.0128881353750729
"Neat1",207.635450607206,0.637276313378588,0.160192237819527,3.97819720888438,6.94397677150291e-05,0.0133092888120472
"Ccl2",3741.9131531489,-0.54870557115005,0.142580520538424,-3.84839085365927,0.000118896249173619,0.0217526092238098
"Serf1",85.7805693145919,0.659786949702176,0.175597864755633,3.75737455931116,0.000171705391245807,0.0300484434680163
"Myl12a",1019.60140088008,-0.265151737213212,0.0721122687729938,-3.67692962272338,0.000236058132367823,0.0395889159491869
"Cfl1",1415.6156904823,-0.208780328093006,0.0572995041372513,-3.64366727490185,0.000268780833185933,0.0432737141429351
"Pdcd4",55.9610223848153,0.79312754047864,0.22174932179688,3.57668530416132,0.000347978670376148,0.0538697749332306
"Mt2",62.8932691663612,0.903385429338163,0.259870718893549,3.47628787569644,0.000508406239397153,0.0737204315293701
"Cyb5a",149.15540411262,0.571254439727542,0.164438987787624,3.47395984014039,0.00051283778455214,0.0737204315293701
"Ndrg3",327.797680434964,-0.52224755024842,0.151046094026259,-3.45753760542547,0.000545136153913207,0.0740806139478685
"Sqstm1",219.962460002961,0.447291874640846,0.129496310332995,3.45408972263882,0.000552153644331939,0.0740806139478685
"Sox4",114.080876466292,0.60203268340566,0.176598393434111,3.40904960514422,0.000651896247199104,0.0846413675798837
"Cstb",541.731663383232,0.289133254551921,0.0861250196392236,3.35713426554904,0.000787548586064256,0.0960570623911706
"Rrm2",178.747189345741,-0.496078676405912,0.147621061589905,-3.36048712198013,0.000778051578530828,0.0960570623911706
"Tiparp",94.3094078306917,0.612556682428869,0.187069264359452,3.27449132024086,0.00105852390934238,0.125310551032444
"Hmox1",45.3801493172029,0.966558616356911,0.296867378675611,3.25585997582131,0.00113049489050247,0.127123428398335
"Inhba",187.177196564029,0.470340013989321,0.144531920825366,3.25422931697988,0.0011370045769789,0.127123428398335
"Ppic",350.279395594705,0.304557146162351,0.0940842325150612,3.23706893302868,0.00120764236579623,0.131371906008914
"mt-Rnr1",554.273729105493,0.280378235556985,0.087430426084788,3.20687257414348,0.00134186419553815,0.142131668080028
"Tmem37",56.6148010316535,0.683828052840145,0.217219239665783,3.14810075706136,0.00164335038337682,0.16632577511306
"Ddx41",87.4182699641698,0.54510626370475,0.173247499674785,3.1464019089915,0.00165292695764532,0.16632577511306
"Rpl36",3020.58609563662,-0.147882450694162,0.0471560637284203,-3.13602194504278,0.00171256388405827,0.168123649593525
"Pgd",137.163179245486,0.449699238858504,0.144058649872382,3.12163996578394,0.00179846734213174,0.168344908187913
"Bgn",722.143914777291,0.223805587923748,0.0716080911605967,3.1254231790904,0.00177549437607149,0.168344908187913
"ENSMUSG00000130452",59.4240143539449,-0.950473435869426,0.306185213529202,-3.10424342480136,0.00190766306572158,0.170629863100652
"Uqcrq",767.572074478369,-0.201352063425624,0.0648218030956567,-3.10623978059498,0.00189482998752977,0.170629863100652
"Eef1a1",6516.774400994,0.105679033876143,0.0341868412836699,3.09121960111076,0.00199336151113535,0.174419132224343
"Pgls",569.594821755316,-0.23051146884537,0.0765099046333928,-3.01283173662149,0.0025882238076628,0.22165108140091
"Serpinb6a",555.339075362636,0.247056807706366,0.0826676458855429,2.98855501520423,0.00280300032309637,0.235043256259644
"Hadha",58.1406530886939,0.625748615540346,0.210242796970352,2.97631416893958,0.002917358289109,0.23964014517681
"Fth1",11364.0367998126,0.138744726627594,0.0471716382466243,2.94127428651521,0.00326864960596848,0.263126293280463
