"ID","Axl_NES","Prmt1_NES","Ripk1_NES"
"HALLMARK_ANDROGEN_RESPONSE",1.47205983464941,NA,NA
"HALLMARK_APOPTOSIS",NA,1.63014143262313,1.36864860107609
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.59150347692716,-1.39460177168497,NA
"HALLMARK_COAGULATION",NA,NA,1.44635932879413
"HALLMARK_COMPLEMENT",NA,1.3662310428165,1.33130572077525
"HALLMARK_DNA_REPAIR",1.72470533431806,-1.35525979089106,NA
"HALLMARK_E2F_TARGETS",NA,-1.8278342651705,-1.6483901269171
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.50984453849086,1.36574777954014,1.51602983435107
"HALLMARK_FATTY_ACID_METABOLISM",NA,NA,1.3804381010048
"HALLMARK_G2M_CHECKPOINT",NA,NA,-1.35637825907938
"HALLMARK_GLYCOLYSIS",1.36118945041698,NA,-1.29780428063806
"HALLMARK_HEME_METABOLISM",NA,1.37557588369003,NA
"HALLMARK_HYPOXIA",1.55280039064206,1.77481424871426,NA
"HALLMARK_IL6_JAK_STAT3_SIGNALING",NA,NA,1.50325114336616
"HALLMARK_INFLAMMATORY_RESPONSE",-1.41800155318788,-1.34583666908149,1.61745585811343
"HALLMARK_INTERFERON_ALPHA_RESPONSE",NA,NA,2.15673326701045
"HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,NA,2.32064873456491
"HALLMARK_KRAS_SIGNALING_UP",NA,1.40024989894877,1.45198222385787
"HALLMARK_MTORC1_SIGNALING",1.86027999248435,-1.24313484443699,NA
"HALLMARK_MYC_TARGETS_V1",2.15021978640699,-2.32578476030063,-1.30289033739482
"HALLMARK_MYC_TARGETS_V2",NA,-2.17378793207102,-2.1168668759632
"HALLMARK_MYOGENESIS",NA,NA,1.78999643302469
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.28165989411228,-1.36342302898505,NA
"HALLMARK_P53_PATHWAY",1.59429574224668,1.54139258162718,NA
"HALLMARK_PANCREAS_BETA_CELLS",2.10465043140783,1.54048874683517,NA
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",NA,1.82323296936788,1.45090921108165
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",NA,-1.31741052938894,1.51914127739881
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.89168896649412,NA,NA
"HALLMARK_UV_RESPONSE_DN",-1.39038200127075,NA,NA
"HALLMARK_UV_RESPONSE_UP",NA,1.4156703758935,1.44411458071384
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",NA,1.63335060423046,NA
"HALLMARK_XENOBIOTIC_METABOLISM",NA,1.60770067530543,1.42108596466065
